,Title,description,price,hab,m2,timeago,phone,url,imgurl
0,Piso en Ronda Muralla,"En la Ronda, pegado a la puerta de la muralla que da a Praza Maior, con 80 m2 aproximados, balcón y terraza cubierta. Con la sala princip...",134.000 €,3 habs.,100 m²,ahora,982775441,/vivienda/lugo-capital/calefaccion-parking-trastero-ascensor-ronda-muralla-147361197?RowGrid=1&tti=1&opi=300,https://d.inmofactory.com/1/90290/14847868/184121878.jpg/690x518/p_1
1,Apartamento en Xoan Montes,"Vivienda en el centro de Lugo histórico, haciendo esquina con rúa progreso, zona comercial y peatonal. Con una superficie de 80 m2 aproxi...",210.000 €,2 habs.,80 m²,ahora,982775441,/vivienda/lugo-capital/ascensor-xoan-montes-147607025?RowGrid=2&tti=1&opi=300,https://d.inmofactory.com/1/90290/14996251/187544751.jpg/690x518/p_1
2,Piso en Calle San Froilan,Piso en venta  dentro de murallas. Situado en la calle San Froilán. El edificio es del año 1980. Tiene 138 metros cuadrados y está distri...,169.000 €,4 habs.,138 m²,ahora,982110152,/vivienda/lugo-capital/calle-san-froilan-147516946?RowGrid=3&tti=1&opi=300,https://d.inmofactory.com/1/86170/14938803/186203970.jpg/690x518/p_1
3,"Casa adosada en Poligono, 80","Casa en venta en Begonte, Lugo. El inmueble dispone de una superficie de 101 m² distribuidos en 2 plantas. La planta baja dispone de 4 ha...",54.500 €,1 hab.,101 m²,ahora,935432140,/vivienda/lugo-capital/poligono-80-147973347?RowGrid=4&tti=1&opi=300,https://d.fotocasa.es/anuncio/2018/08/10/147973347/437114876.jpg/690x518/p_1
4,Piso en Centro - Recinto Amurallado,"Vivienda luminosa y bien distribuida, con amplios ventanales y buenas vistas. Dispone de calefacción y los suelos son de tarima (excepto ...",104.000 €,1 hab.,87 m²,hace 16 horas,910755184,/vivienda/lugo-capital/centro-recinto-amurallado-144470844?RowGrid=5&tti=1&opi=300,https://frtassets.fotocasa.es/img/fotocasa_logo.svg
5,Dúplex en Centro - Recinto Amurallado,"Vivienda luminosa y bien distribuida, con amplios ventanales y buenas vistas. Dispone de calefacción y los suelos son de tarima (excepto ...",128.000 €,2 habs.,131 m²,hace 17 horas,910755184,/vivienda/lugo-capital/centro-recinto-amurallado-144471179?RowGrid=6&tti=1&opi=300,https://frtassets.fotocasa.es/img/fotocasa_logo.svg
6,Piso en Calle Bolaño Rivadeneira,"Pisos en construcción en el centro de la ciudad, de uno y dos dormitorios. 
Cuenta con unas calidades excelentes: persianas con maniobra ...",270.000 €,2 habs.,77 m²,hace 1 día,982775106,/vivienda/lugo-capital/calefaccion-parking-ascensor-television-no-amueblado-calle-bolano-rivadeneira-147865204?RowGrid=7&tti=1&opi=300,https://d.inmofactory.com/1/112972/15134579/190963763.jpg/690x518/p_1
7,Piso en Centro - Recinto Amurallado,"Vivienda luminosa y bien distribuida, con amplios ventanales y buenas vistas. Dispone de calefacción y los suelos son de tarima (excepto ...",132.300 €,None,107 m²,hace 1 día,910755184,/vivienda/lugo-capital/centro-recinto-amurallado-147476786?RowGrid=8&tti=1&opi=300,https://frtassets.fotocasa.es/img/fotocasa_logo.svg
8,Piso en Centro - Recinto Amurallado,"Vivienda luminosa y bien distribuida, con amplios ventanales y buenas vistas. Dispone de calefacción y los suelos son de tarima (excepto ...",111.300 €,2 habs.,107 m²,hace 1 día,910755184,/vivienda/lugo-capital/centro-recinto-amurallado-144470828?RowGrid=9&tti=1&opi=300,https://frtassets.fotocasa.es/img/fotocasa_logo.svg
9,Apartamento en Calle Reina,"Zona centro, dentro de Murallas, apartamento de 44 m² útiles aprox., cuarta planta, 2 habitaciones, 1 baño, cocina, salón y amplia galerí...",120.000 €,2 habs.,44 m²,hace 2 días,982775468,/vivienda/lugo-capital/calefaccion-trastero-ascensor-parking-calle-reina-147849040?RowGrid=10&tti=1&opi=300,https://d.inmofactory.com/1/94828/15125591/190748874.jpg/690x518/p_1
